psr,source_file,P_s,DM_LOTAAS,sigma,S135_cor,S135_exp,ra_deg,dec_deg,DM_atnf,P0_atnf
B0011+47,redetect.dat,1.2407,30.3,63.6,31.1,38.9,3.5739583333333327,47.77594444444444,30.405,1.2406990389455896
B0031-07,redetect.dat,0.943,10.8,30.3,0.0,757.5,8.536959583333333,-7.364835833333333,10.922,0.9429509945597656
B0037+56,redetect.dat,1.1182,92.6,33.6,19.4,39.5,10.134957916666666,57.27356472222222,92.515,1.1182253452411999
B0045+33,redetect.dat,1.2171,39.9,107.6,24.9,16.7,12.141599275291666,34.202235326997226,39.922,1.2170942960575557
B0052+51,redetect.dat,2.1152,44.1,16.3,7.9,10.4,13.939158749999997,51.290166944444444,44.013,2.115171148865356
B0053+47,redetect.dat,0.472,18.1,59.9,23.3,8.5,14.106300394499998,47.936267219797216,18.1354,0.47203666207644096
B0059+65,redetect.dat,1.6792,65.8,11.9,7.4,48.3,15.637464166666668,65.62039333333333,65.853,1.6791642290642343
B0105+65,redetect.dat,1.2837,30.5,89.4,39.2,47.5,17.09377041666666,66.14291638888889,30.5482,1.283659842947923
B0105+68,redetect.dat,1.0711,61.1,7.0,8.3,10.4,17.122931859916665,69.09795668498333,61.062,1.0711181098585134
B0114+58,redetect.dat,0.1014,49.4,46.8,54.3,92.3,19.411086618666666,59.24400175019444,49.4207,0.10143906648239018
B0136+57,redetect.dat,0.2725,73.8,130.9,197.6,182.3,24.832250416666664,58.24217194444444,73.8114,0.272450630948639
B0138+59,redetect.dat,1.223,34.9,289.5,102.6,162.4,25.416400101291664,60.158978574002774,34.926,1.222948520545672
B0144+59,redetect.dat,0.1963,40.1,43.3,26.3,37.7,26.93601416666666,59.367578888888886,40.111,0.19632137543003358
B0153+39,redetect.dat,1.8116,59.6,10.6,3.5,9.9,29.23018972070833,39.82459642404723,59.833,1.8115606113139169
B0154+61,redetect.dat,2.3519,30.2,10.5,4.8,23.9,29.458097499999997,62.20740222222223,30.21,2.3517449364580285
B0226+70,redetect.dat,1.4668,46.7,45.1,12.3,6.2,37.808325127416666,70.44274926766111,46.6794,1.466820306151628
B0301+19,redetect.dat,1.3876,15.6,35.1,0.0,48.7,46.13797916666666,19.547611111111113,15.6568,1.387584446262276
B0320+39,redetect.dat,3.0321,26.2,269.1,109.6,123.6,50.861091249999994,39.747889722222226,26.1898,3.0320719563851606
B0329+54,redetect.dat,0.7145,26.8,434.2,0.0,8528.1,53.247539999999994,54.578702500000006,26.7641,0.714519699725801
B0331+45,redetect.dat,0.2692,47.1,50.6,13.4,41.5,53.81934,45.93151444444444,47.1457,0.26920054092953166
B0339+53,redetect.dat,1.9345,67.5,15.2,0.0,29.1,55.80378619383333,53.21484389092778,67.3,1.9344780672938544
B0355+54,redetect.dat,0.1564,57.1,68.0,88.4,122.3,59.72384916666666,54.22049555555556,57.142,0.1563841215590166
B0402+61,redetect.dat,0.5946,65.3,69.6,55.2,0.0,61.625335833333324,61.64483555555555,65.405,0.5945761650437441
B0410+69,redetect.dat,0.3907,27.5,55.4,21.7,33.8,63.98189598716666,69.90274959825834,27.446,0.39071508993862825
B0450+55,redetect.dat,0.3407,14.6,73.4,65.9,103.3,73.53229416666666,55.72817694444445,14.59002,0.3407294362346444
B0523+11,redetect.dat,0.3544,79.5,43.5,59.9,41.5,81.48545378166666,11.255217566666667,79.408,0.35443767075852817
B0525+21,redetect.dat,3.7456,50.9,234.7,29.5,269.4,82.21776666666666,22.00111111111111,50.8695,3.7455392503014053
B0531+21,redetect.dat,0.0337,56.8,9.6,0.0,10397.0,83.63305654166665,22.014497972222223,56.7712,0.033392412302258895
B0540+23,redetect.dat,0.246,77.7,25.1,22.4,38.8,85.79025,23.484722222222224,77.7026,0.24597476889006475
B0609+37,redetect.dat,0.298,27.1,30.8,10.6,24.6,93.20286081441667,37.36037685466945,27.1549,0.29798232657188345
B0611+22,redetect.dat,0.335,96.9,67.8,66.3,198.3,93.57085749999999,22.499124444444444,96.91,0.33495996611057016
B0621-04,redetect.dat,1.0391,70.8,17.1,15.8,14.5,96.08344646691666,-4.414014848283334,70.835,1.0390771753016936
B0626+24,redetect.dat,0.4766,84.2,97.3,0.0,85.5,97.27386374999999,24.261540555555555,84.176,0.47662283603808464
B0643+80,redetect.dat,1.2144,33.3,65.6,13.1,22.3,103.31287499999998,80.86672777777777,33.3188,1.2144405115160142
B0655+64,redetect.dat,0.1957,8.8,376.1,157.1,64.3,105.15750833333333,64.30311111111111,8.7739,0.1956709451662738
B0656+14,redetect.dat,0.3849,14.1,16.0,8.6,12.4,104.95081666666665,14.238722222222222,13.95,0.3849286233650379
B0751+32,redetect.dat,1.4423,40.0,44.8,22.9,19.9,118.66953333333333,32.53227777777778,39.9863,1.442349479142921
B0809+74,redetect.dat,1.2922,5.8,390.5,0.0,358.8,123.74791666666664,74.48491666666666,5.7507,1.2922414468619536
B0820+02,redetect.dat,0.8649,23.8,110.6,77.9,364.8,125.79068791666664,1.9867969444444444,23.727,0.8648728046988048
B0823+26,redetect.dat,0.5307,19.5,126.3,605.6,615.5,126.71461166666666,26.6225825,19.47633,0.5306605116860001
B0834+06,redetect.dat,1.2738,12.9,1266.0,0.0,1671.3,129.27353580416667,6.171128780555556,12.864,1.2737682915784503
B0841+80,redetect.dat,1.6022,34.9,10.8,4.6,7.0,132.25629934566666,80.4830866687,34.812,1.6022279738714946
B0917+63,redetect.dat,1.568,13.1,29.2,10.8,25.8,140.30889952137497,62.903860684047224,13.15423,1.5679940184795544
B0919+06,redetect.dat,0.4306,27.3,271.6,0.0,367.4,140.558425,6.639805555555555,27.2986,0.43063215487791234
B0940+16,redetect.dat,1.0874,20.2,27.7,19.6,28.9,145.87541666666664,16.526944444444442,20.3402,1.0874178276972961
B0943+10,redetect.dat,1.0977,15.3,597.8,330.2,509.9,146.53166666666667,9.865277777777777,15.3185,1.0977057048553227
B0950+08,redetect.dat,0.2531,3.0,278.5,2368.0,2981.7,148.28879041666664,7.926597222222223,2.96927,0.2530654277592876
B1112+50,redetect.dat,1.6564,9.2,286.6,27.4,60.4,168.91,50.503413888888886,9.1863,1.6564397599369094
B1133+16,redetect.dat,1.1879,4.8,879.9,756.3,1100.9,174.01299916666662,15.853939722222222,4.8407,1.1879172746306204
B1237+25,redetect.dat,1.3824,9.3,301.9,117.5,205.5,189.91858916666664,24.897025,9.2516,1.3824491030387713
B1257+12,redetect.dat,0.0062,10.2,161.6,218.4,97.8,195.01490291666664,12.68235336111111,10.1655,0.00621853194840048
B1322+83,redetect.dat,0.67,13.3,73.7,25.0,33.5,200.44013124999998,83.39428666666667,13.3162,0.670037418385785
B1508+55,redetect.dat,0.7397,19.6,95.9,0.0,981.1,227.3567908333333,55.525665,19.6191,0.739681922904263
B1530+27,redetect.dat,1.1248,14.7,126.8,57.3,40.7,233.0431858333333,27.763784166666667,14.691,1.1248357427665205
B1534+12,redetect.dat,0.0379,11.6,24.1,15.7,283.5,234.29150720833331,11.93206496388889,11.61944,0.037904441178304625
B1540-06,redetect.dat,0.7091,18.4,35.7,0.0,604.5,235.8755720833333,-6.345925555555556,18.532,0.709064837188539
B1541+09,redetect.dat,0.7484,35.0,286.6,572.2,960.7,235.91177083333332,9.487871944444443,34.9758,0.7484488274633482
B1604-00,redetect.dat,0.4218,10.7,278.8,329.9,425.3,241.80024916666665,-0.5448686111111111,10.6823,0.42181623358257625
B1612+07,redetect.dat,1.2068,21.4,83.3,52.3,180.3,243.670439176875,7.6252806555138894,21.3949,1.2068033926375523
B1633+24,redetect.dat,0.4905,24.3,104.7,63.8,98.6,248.85741774237496,24.313142172466666,24.267,0.4905065128003319
B1642-03,redetect.dat,0.3877,35.7,933.0,830.5,4779.3,251.2585025,-3.2993941666666666,35.7555,0.3876916862625611
B1718-02,redetect.dat,0.4777,66.9,22.9,60.3,240.0,260.2386208333333,-2.2067505333333335,66.98,0.4777154228575718
B1726-00,redetect.dat,0.386,41.0,41.7,47.2,133.8,262.1450758182083,-0.12916905146944443,41.09,0.3860037238349235
B1737+13,redetect.dat,0.8031,48.6,58.6,94.4,93.9,265.03041976833333,13.198942827777778,48.6682,0.803051666099923
