# LOFAR pulsar detections and census non-detections, built by python -m web.lofar
# from VizieR J/A+A/591/A134, J/A+A/635/A75, J/A+A/586/A92 and J/MNRAS/484/3646.
name	reference	detected	limit_mjy
J0006+1834	Bilous et al. 2016	1	
B0011+47	Bilous et al. 2016	1	
J0033+57	Bilous et al. 2016	0	2.0
B0037+56	Bilous et al. 2016	1	
B0045+33	Bilous et al. 2016	1	
B0052+51	Bilous et al. 2016	1	
B0053+47	Bilous et al. 2016	1	
B0105+65	Bilous et al. 2016	1	
B0105+68	Bilous et al. 2016	1	
J0106+4855	Bilous et al. 2016	0	1.6
B0114+58	Bilous et al. 2016	1	
B0136+57	Bilous et al. 2016	1	
J0137+1654	Bilous et al. 2016	1	
J0152+0948	Bilous et al. 2016	1	
B0153+39	Bilous et al. 2016	1	
J0205+6449	Bilous et al. 2016	0	2.2
J0212+5222	Bilous et al. 2016	1	
B0226+70	Bilous et al. 2016	1	
B0301+19	Bilous et al. 2016	1	
B0320+39	Bilous et al. 2016	1	
J0324+5239	Bilous et al. 2016	1	
J0329+1654	Bilous et al. 2016	1	
B0331+45	Bilous et al. 2016	1	
B0402+61	Bilous et al. 2016	1	
B0410+69	Bilous et al. 2016	1	
J0413+58	Bilous et al. 2016	0	1.9
J0417+35	Bilous et al. 2016	1	
J0419+44	Bilous et al. 2016	0	1.9
J0435+27	Bilous et al. 2016	1	
B0450+55	Bilous et al. 2016	1	
B0458+46	Bilous et al. 2016	1	
B0523+11	Bilous et al. 2016	1	
B0525+21	Bilous et al. 2016	1	
B0531+21	Bilous et al. 2016	1	
B0540+23	Bilous et al. 2016	1	
B0609+37	Bilous et al. 2016	1	
J0611+30	Bilous et al. 2016	1	
B0626+24	Bilous et al. 2016	1	
B0643+80	Bilous et al. 2016	1	
J0646+0905	Bilous et al. 2016	0	3.1
J0647+0913	Bilous et al. 2016	0	3.3
B0655+64	Bilous et al. 2016	1	
B0656+14	Bilous et al. 2016	1	
J0711+0931	Bilous et al. 2016	1	
B0751+32	Bilous et al. 2016	1	
B0809+74	Bilous et al. 2016	1	
J0815+0939	Bilous et al. 2016	1	
B0823+26	Bilous et al. 2016	1	
B0841+80	Bilous et al. 2016	1	
B0917+63	Bilous et al. 2016	1	
B0940+16	Bilous et al. 2016	1	
B0943+10	Bilous et al. 2016	1	
J0943+22	Bilous et al. 2016	1	
J0947+27	Bilous et al. 2016	1	
B1910+20	Bilous et al. 2016	1	
B1112+50	Bilous et al. 2016	1	
B1133+16	Bilous et al. 2016	1	
B1237+25	Bilous et al. 2016	1	
J1238+21	Bilous et al. 2016	1	
J1246+22	Bilous et al. 2016	1	
J1313+0931	Bilous et al. 2016	1	
B1322+83	Bilous et al. 2016	1	
J1503+2111	Bilous et al. 2016	1	
B1508+55	Bilous et al. 2016	1	
B1530+27	Bilous et al. 2016	1	
B1541+09	Bilous et al. 2016	1	
J1549+2113	Bilous et al. 2016	1	
J1612+2008	Bilous et al. 2016	1	
J1627+1419	Bilous et al. 2016	1	
B1633+24	Bilous et al. 2016	1	
J1645+1012	Bilous et al. 2016	1	
J1649+2533	Bilous et al. 2016	1	
J1652+2651	Bilous et al. 2016	1	
J1720+2150	Bilous et al. 2016	1	
B1737+13	Bilous et al. 2016	1	
J1740+1000	Bilous et al. 2016	1	
J1741+2758	Bilous et al. 2016	1	
J1746+2245	Bilous et al. 2016	1	
J1746+2540	Bilous et al. 2016	1	
J1752+2359	Bilous et al. 2016	1	
B1753+52	Bilous et al. 2016	1	
